"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 03 14:03:32 IST 2020","Fri Jul 03 14:03:32 IST 2020","0","mypack","test_signup","","","","test_signupbyfb",""
"passed","Fri Jul 03 14:03:32 IST 2020","Fri Jul 03 14:03:32 IST 2020","0","mypack","test_signup","","","","test_signupbyemail","this is my first python allure report"
